Country,OptIn Date,Agree,AgeGroup,City,Gender,Occupation_raw,Occupation,OwnHouse,CoolHome,Electricity,HoursDay,DrinkingWater,HouseholdPurposes,Rooms,RoofingMaterial,WallMaterial,FloorMaterial,Windows,People in Household,NormallyDo_raw,NormallyDo,PandemicChange,YesPandemicChange_raw,YesPandemicChange,SpendAtHome,AmountOfTime,Income,EatingHabits,WaterIntake,ElectricityUsage,HealthServices,HomeWarm,TemperatureInsideHome,TemperatureOutsideHome,Experience_Blurred vision,Experience_Clammy skin,Experience_Concentration loss,Experience_Confusion,Experience_Dizziness,Experience_Fatigue,Experience_Feeling hot,Experience_Feeling listless/lack of engagement with social activities/family,Experience_Feeling sweaty,Experience_Feeling thirsty,Experience_Headache,Experience_Irrational behaviour,Experience_Loss of consciousness [extensive],Experience_Muscle cramps,Experience_Muscle weakness,Experience_Nausea,Experience_Poor quality of sleep,Experience_Rash,Experience_Vomiting,Experience_DONTKNOW,Experience_REFUSED,ExperienceBeforeHeat (Feeling hot),ExperienceBeforeHeat (Poor quality of sleep),ExperienceBeforeHeat (Nausea),ExperienceBeforeHeat (Vomiting),ExperienceBeforeHeat (Dizziness),ExperienceBeforeHeat (Feeling sweaty),ExperienceBeforeHeat (Headache),ExperienceBeforeHeat (Feeling listless/lack of engagement with social activities/family),ExperienceBeforeHeat (Muscle cramps),ExperienceBeforeHeat (Blurred vision),ExperienceBeforeHeat (Feeling thirsty),ExperienceBeforeHeat (Fatigue),ExperienceBeforeHeat (Confusion),ExperienceBeforeHeat (Concentration loss),ExperienceBeforeHeat (Clammy skin),ExperienceBeforeHeat (Muscle weakness),ExperienceBeforeHeat (Rash),ExperienceBeforeHeat (Irrational behaviour),ExperienceBeforeHeat (Loss of consciousness [extensive]),FeelingMore,PhysicalConflict,HeatAffect
Indonesia,20/07/2020,Yes,18-24,Jakarta Special Capital Region,MALE,Student,STUDENT,NO,CEILING FAN,INFORMAL CONNECTION,6,BOTTLES,COMMUNAL OR STREET-END TAP,1,SHEET METAL [TIN/ZINC/CORRUGATED IRON],REINFORCED CONCRETE,CERAMIC TILES,3,3,Go outside to get some fresh air,Spend More time outdoors,YES,Find activities in the college environment,Spend More time outdoors,HALF OF THE DAY,SIGNIFICANTLY INCREASED,SIGNIFICANTLY DECREASED,I EAT LESS - IT IS ENOUGH,YES - I USE MORE,I HAVE HAD TO USE LESS ENERGY,THE SAME,COOL,HOT,SLIGHTLY DIFFICULT TO TOLERATE,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,NO,,,,,,,,,,DON'T KNOW,NO,MORE
Indonesia,21/07/2020,Yes,25-34,Jakarta Special Capital Region,MALE,BUSINESS/SELF-EMPLOYED,BUSINESS/SELF-EMPLOYED,NO,TABLE FAN,INFORMAL CONNECTION,24,BOTTLES,COMMUNAL OR STREET-END TAP,2,SHEET METAL [TIN/ZINC/CORRUGATED IRON],MUD BRICK [CRUDE/RAW/COOKED],CEMENT,2,4,Take a shower,Taking a bath,YES,Indoor,Spend More time indoors,MOST OF THE DAY – EXCEPT FOR SHORT TRIPS OUT,DON'T KNOW,SLIGHTLY DECREASED,I EAT MORE - IT IS ENOUGH,YES - I USE LESS,I HAVE BEEN ABLE TO USE MORE ENERGY,HARDER,HOT,SLIGHTLY WARM,VERY DIFFICULT TO TOLERATE,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,,,,,,MAYBE,,,,,,,,,,,,,IRRITABLE,NO,ABOUT THE SAME
Indonesia,24/07/2020,Yes,18-24,Jakarta Special Capital Region,MALE,Unemployed,UNEMPLOYED,NO,CEILING FAN,OTHER,12,BOTTLES,SUPPLIED IN TANKS,3,WOODEN SHINGLES,REINFORCED CONCRETE,CERAMIC TILES,2,5,Switch on the fan,Use Air Coolers,NO,,,MOST OF THE DAY – EXCEPT FOR SHORT TRIPS OUT,SIGNIFICANTLY INCREASED,SIGNIFICANTLY DECREASED,NO CHANGE - IT IS ENOUGH,NO - NO CHANGE,I HAVE HAD TO USE LESS ENERGY,THE SAME,NEUTRAL,SLIGHTLY WARM,PERFECTLY TOLERABLE,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,DON'T KNOW,NO,ABOUT THE SAME
Indonesia,24/07/2020,Yes,18-24,Jakarta Special Capital Region,MALE,PAID LABOR/WAGE,PAID LABOR/WAGE,NO,CEILING FAN,INFORMAL CONNECTION,11,BOTTLES,COMMUNAL OR STREET-END TAP,3,SHEET METAL [TIN/ZINC/CORRUGATED IRON],MUD BRICK [CRUDE/RAW/COOKED],CERAMIC TILES,6,4,Switch on the fan,Use Air Coolers,YES,Spending more time indoor,Spend More time indoors,HALF OF THE DAY,REMAINED ABOUT THE SAME,SIGNIFICANTLY DECREASED,I EAT LESS - IT IS ENOUGH,YES - I USE MORE,I HAVE HAD TO USE LESS ENERGY,THE SAME,SLIGHTLY COOL,SLIGHTLY WARM,SLIGHTLY DIFFICULT TO TOLERATE,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,NO,,,,,,,,,,,,,,,,,,UNHAPPY,NO,ABOUT THE SAME
Indonesia,16/07/2020,Yes,25-34,Jakarta Special Capital Region,MALE,Laborer,PAID LABOR/WAGE,NO,CEILING FAN,INFORMAL CONNECTION,5,COMMUNAL TAP/SHARED TAP [ALSO CALLED STAND PIPE/STREET END TAP/YARD TAP],COMMUNAL OR STREET-END TAP,2,SHEET METAL [TIN/ZINC/CORRUGATED IRON],MUD BRICK [CRUDE/RAW/COOKED],OTHER,3,3,Switch on the fan and open the window,Use Air Coolers,YES,Spending time indoor,Spend More time indoors,VERY LITTLE – ONLY FOR SLEEPING,SIGNIFICANTLY DECREASED,SIGNIFICANTLY DECREASED,I EAT LESS - IT IS ENOUGH,YES - I USE LESS,I HAVE HAD TO USE LESS ENERGY,HARDER,NEUTRAL,SLIGHTLY COOL,VERY DIFFICULT TO TOLERATE,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,UNHAPPY,NO,LESS
Indonesia,22/07/2020,Yes,25-34,Jakarta Special Capital Region,MALE,EMPLOYED IN PRIVATE COMPANY,EMPLOYED IN PRIVATE COMPANY,NO,CEILING FAN,INFORMAL CONNECTION,11,BOTTLES,COMMUNAL OR STREET-END TAP,1,SHEET METAL [TIN/ZINC/CORRUGATED IRON],MUD BRICK [CRUDE/RAW/COOKED],CERAMIC TILES,3,4,"Open the door, and switch on the fan",Open ventilations,YES,Indoor,Spend More time indoors,VERY LITTLE – ONLY FOR SLEEPING,SIGNIFICANTLY INCREASED,SIGNIFICANTLY DECREASED,NO CHANGE - IT IS ENOUGH,YES - I USE MORE,NO CHANGE,THE SAME,HOT,WARM,PERFECTLY TOLERABLE,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,YES,,,,,,,,,,,,,,DON'T KNOW,NO,ABOUT THE SAME
Indonesia,24/07/2020,Yes,18-24,Jakarta Special Capital Region,FEMALE,EMPLOYED IN PRIVATE COMPANY,EMPLOYED IN PRIVATE COMPANY,NO,TABLE FAN,INFORMAL CONNECTION,12,BOTTLES,COMMUNAL OR STREET-END TAP,1,SHEET METAL [TIN/ZINC/CORRUGATED IRON],REINFORCED CONCRETE,CERAMIC TILES,3,4,Switch on the fan,Use Air Coolers,NO,,,HALF OF THE DAY,SIGNIFICANTLY INCREASED,SIGNIFICANTLY DECREASED,I EAT MORE - IT IS ENOUGH,YES - I USE MORE,I HAVE HAD TO USE LESS ENERGY,THE SAME,HOT,COMFORTABLE,INTOLERABLE,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,,,,,,YES,,,,,,,,,,,,,FRUSTRATED,NO,ABOUT THE SAME
Indonesia,24/07/2020,Yes,25-34,Jakarta Special Capital Region,FEMALE,PAID LABOR/WAGE,PAID LABOR/WAGE,NO,TABLE FAN,INFORMAL CONNECTION,10,BOTTLES,COMMUNAL OR STREET-END TAP,2,SHEET METAL [TIN/ZINC/CORRUGATED IRON],REINFORCED CONCRETE,CERAMIC TILES,2,3,Kiosllpas,Other responses,NO,,,MOST OF THE DAY – EXCEPT FOR SHORT TRIPS OUT,REMAINED ABOUT THE SAME,REMAINED ABOUT THE SAME,I EAT LESS - IT IS ENOUGH,NO - NO CHANGE,I HAVE HAD TO USE LESS ENERGY,THE SAME,HOT,COOL,PERFECTLY TOLERABLE,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,UNHAPPY,ABOUT THE SAME,ABOUT THE SAME
Indonesia,20/07/2020,Yes,18-24,Jakarta Special Capital Region,MALE,Looking for a job,UNEMPLOYED,NO,CEILING FAN,INFORMAL CONNECTION,12,COMMUNAL TAP/SHARED TAP [ALSO CALLED STAND PIPE/STREET END TAP/YARD TAP],COMMUNAL OR STREET-END TAP,2,SHEET METAL [TIN/ZINC/CORRUGATED IRON],MUD BRICK [CRUDE/RAW/COOKED],CERAMIC TILES,1,3,Switch on the fan,Use Air Coolers,YES,Go to the other place,Spend More time outdoors,MOST OF THE DAY – EXCEPT FOR SHORT TRIPS OUT,REMAINED ABOUT THE SAME,SIGNIFICANTLY DECREASED,NO CHANGE - IT IS ENOUGH,NO - NO CHANGE,NO CHANGE,HARDER,NEUTRAL,HOT,INTOLERABLE,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,DON'T KNOW,NO,ABOUT THE SAME
Indonesia,14/07/2020,Yes,25-34,Jakarta Special Capital Region,FEMALE,Housewife,UNEMPLOYED,NO,TABLE FAN,INFORMAL CONNECTION,24,OTHER,COMMUNAL OR STREET-END TAP,2,SHEET METAL [TIN/ZINC/CORRUGATED IRON],MUD BRICK [CRUDE/RAW/COOKED],CEMENT,2,4,Switch on the fan,Use Air Coolers,NO,,,MOST OF THE DAY – EXCEPT FOR SHORT TRIPS OUT,SIGNIFICANTLY INCREASED,SIGNIFICANTLY DECREASED,I EAT MORE - IT IS ENOUGH,YES - I USE LESS,I HAVE HAD TO USE LESS ENERGY,HARDER,HOT,HOT,SLIGHTLY DIFFICULT TO TOLERATE,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,CAN'T REMEMBER,,,,,,,,,,,,,,,DON'T KNOW,NO,ABOUT THE SAME
