Country,OptIn Date,Language,Agree,ADM-1,Gender,AgeGroup,Occupation,OwnHouse,CoolHome,Electricity,HoursDay,DrinkingWater,HouseholdPurposes,Rooms,RoofingMaterial,WallMaterial,FloorMaterial,Windows,People in Household,,PandemicChange,SpendAtHome,AmountOfTime,Income,EatingHabits,WaterIntake,ElectricityUsage,HealthServices,HomeWarm,TemperatureInsideHome,TemperatureOutsideHome,Experience_Blurred vision,Experience_Clammy skin,Experience_Concentration loss,Experience_Confusion,Experience_Convulsions,Experience_Dizziness,Experience_Fainting [brief loss of consciousness],Experience_Fatigue,Experience_Feeling hot,Experience_Feeling listless/lack of engagement with social activities/family,Experience_Feeling sweaty,Experience_Feeling thirsty,Experience_Headache,Experience_Irrational behaviour,Experience_Muscle cramps,Experience_Muscle weakness,Experience_Nausea,Experience_Poor quality of sleep,Experience_Rash,Experience_Vomiting,Experience_DONTKNOW,ExperienceBeforeHeat (Fatigue),ExperienceBeforeHeat (Feeling sweaty),ExperienceBeforeHeat (Feeling thirsty),ExperienceBeforeHeat (Headache),ExperienceBeforeHeat (Poor quality of sleep),ExperienceBeforeHeat (Rash),ExperienceBeforeHeat (Feeling hot),ExperienceBeforeHeat (Clammy skin),ExperienceBeforeHeat (Muscle cramps),ExperienceBeforeHeat (Feeling listless/lack of engagement with social activities/family),ExperienceBeforeHeat (Blurred vision),ExperienceBeforeHeat (Confusion),ExperienceBeforeHeat (Irrational behaviour),ExperienceBeforeHeat (Muscle weakness),ExperienceBeforeHeat,ExperienceBeforeHeat (Nausea),ExperienceBeforeHeat (Vomiting),ExperienceBeforeHeat (Concentration loss),ExperienceBeforeHeat (Dizziness),ExperienceBeforeHeat (Convulsions),ExperienceBeforeHeat (Fainting [brief loss of consciousness]),FeelingMore,PhysicalConflict,HeatAffect,Language2
Cameroon,02/07/2020,French,Yes,LITTORAL,MALE,18-24,Other[Specify],NO,CEILING FAN,INFORMAL CONNECTION,24,COMMUNAL TAP/SHARED TAP [ALSO CALLED STAND PIPE/STREET END TAP/YARD TAP],COMMUNAL OR STREET-END TAP,2,T-GIRDER,BAMBOO POLES OR WOOD,CEMENT,2,7,,NO,VERY LITTLE – ONLY FOR SLEEPING,SLIGHTLY INCREASED,SIGNIFICANTLY DECREASED,I EAT LESS - IT IS ENOUGH,NO - NO CHANGE,NO CHANGE,DON'T KNOW,COOL,HOT,INTOLERABLE,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,,,YES,,,,YES,,,,,,,,,,,,,,,IMPATIENT,NO,MORE,French
Cameroon,02/07/2020,French,Yes,LITTORAL,FEMALE,35+,AGRICULTURE/HUSBANDRY/FISHING,NO,TABLE FAN,INFORMAL CONNECTION,21,COMMUNAL TAP/SHARED TAP [ALSO CALLED STAND PIPE/STREET END TAP/YARD TAP],COMMUNAL OR STREET-END TAP,2,SHEET METAL [TIN/ZINC/CORRUGATED IRON],REINFORCED CONCRETE,CEMENT,4,6,,NO,SOME OF THE DAY,SIGNIFICANTLY INCREASED,SIGNIFICANTLY DECREASED,NO CHANGE - IT IS NOT ENOUGH,YES - I USE MORE,I HAVE BEEN ABLE TO USE MORE ENERGY,HARDER,HOT,VERY HOT,FAIRLY DIFFICULT TO TOLERATE,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,YES,YES,YES,,,,YES,,,,,,,,,,,,,,,IMPATIENT,NO,MORE,French
Cameroon,29/06/2020,French,Yes,LITTORAL,MALE,35+,AGRICULTURE/HUSBANDRY/FISHING,NO,TABLE FAN,INFORMAL CONNECTION,8,COMMUNAL TAP/SHARED TAP [ALSO CALLED STAND PIPE/STREET END TAP/YARD TAP],COMMUNAL OR STREET-END TAP,2,T-GIRDER,BAMBOO POLES OR WOOD,CEMENT,2,5,,NO,MOST OF THE DAY – EXCEPT FOR SHORT TRIPS OUT,REMAINED ABOUT THE SAME,SIGNIFICANTLY DECREASED,NO CHANGE - IT IS ENOUGH,NO - NO CHANGE,NO CHANGE,HARDER,COOL,WARM,SLIGHTLY DIFFICULT TO TOLERATE,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,NO,,,NO,,,,,,,,,,,,,,,,,,IMPATIENT,NO,ABOUT THE SAME,French
Cameroon,02/07/2020,French,Yes,LITTORAL,FEMALE,25-34,PAID LABOR/WAGE,NO,TABLE FAN,INFORMAL CONNECTION,18,COMMUNAL TAP/SHARED TAP [ALSO CALLED STAND PIPE/STREET END TAP/YARD TAP],COMMUNAL OR STREET-END TAP,2,T-GIRDER,BAMBOO POLES OR WOOD,SAND/DIRT,3,4,,NO,VERY LITTLE – ONLY FOR SLEEPING,SIGNIFICANTLY INCREASED,REMAINED ABOUT THE SAME,I EAT LESS - IT IS ENOUGH,YES - I USE MORE,NO CHANGE,EASIER,COLD,COMFORTABLE,FAIRLY DIFFICULT TO TOLERATE,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,NO,,,,,,,,,,,,IMPATIENT,NO,ABOUT THE SAME,French
Cameroon,01/07/2020,French,Yes,LITTORAL,MALE,25-34,Other[Specify],NO,OTHER,OTHER,20,COMMUNAL TAP/SHARED TAP [ALSO CALLED STAND PIPE/STREET END TAP/YARD TAP],COMMUNAL OR STREET-END TAP,1,SHEET METAL [TIN/ZINC/CORRUGATED IRON],MUD BRICK [CRUDE/RAW/COOKED],CEMENT,1,4,,NO,MOST OF THE DAY – EXCEPT FOR SHORT TRIPS OUT,SIGNIFICANTLY INCREASED,SIGNIFICANTLY DECREASED,I EAT MORE - IT IS ENOUGH,YES - I USE MORE,I HAVE BEEN ABLE TO USE MORE ENERGY,HARDER,COOL,WARM,SLIGHTLY DIFFICULT TO TOLERATE,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,IMPATIENT,NO,MORE,French
Cameroon,28/06/2020,French,Yes,LITTORAL,MALE,35+,PAID LABOR/WAGE,NO,TABLE FAN,INFORMAL CONNECTION,20,BOTTLES,COMMUNAL OR STREET-END TAP,3,SHEET METAL [TIN/ZINC/CORRUGATED IRON],MUD BRICK [CRUDE/RAW/COOKED],SAND/DIRT,2,8,,YES,MOST OF THE DAY – EXCEPT FOR SHORT TRIPS OUT,REMAINED ABOUT THE SAME,SIGNIFICANTLY DECREASED,I EAT MORE - IT IS ENOUGH,YES - I USE MORE,I HAVE BEEN ABLE TO USE MORE ENERGY,HARDER,SLIGHTLY WARM,SLIGHTLY WARM,SLIGHTLY DIFFICULT TO TOLERATE,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,YES,,,,,,,,,,YES,,,,,,,,,,,IMPATIENT,NO,ABOUT THE SAME,French
Cameroon,02/07/2020,French,Yes,LITTORAL,FEMALE,35+,INFORMAL TRADE / STREET SALES,NO,OTHER,OTHER,20,COMMUNAL TAP/SHARED TAP [ALSO CALLED STAND PIPE/STREET END TAP/YARD TAP],COMMUNAL OR STREET-END TAP,3,SHEET METAL [TIN/ZINC/CORRUGATED IRON],REINFORCED CONCRETE,CEMENT,2,7,,NO,MOST OF THE DAY – EXCEPT FOR SHORT TRIPS OUT,SIGNIFICANTLY DECREASED,SIGNIFICANTLY DECREASED,I EAT MORE - IT IS ENOUGH,YES - I USE MORE,I HAVE BEEN ABLE TO USE MORE ENERGY,HARDER,SLIGHTLY COOL,SLIGHTLY WARM,SLIGHTLY DIFFICULT TO TOLERATE,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,NO,,,,,,,,IMPATIENT,NO,MORE,French
Cameroon,02/07/2020,French,Yes,LITTORAL,MALE,35+,PAID LABOR/WAGE,NO,TABLE FAN,INFORMAL CONNECTION,18,COMMUNAL TAP/SHARED TAP [ALSO CALLED STAND PIPE/STREET END TAP/YARD TAP],COMMUNAL OR STREET-END TAP,2,T-GIRDER,BAMBOO POLES OR WOOD,SAND/DIRT,2,5,,NO,VERY LITTLE – ONLY FOR SLEEPING,SLIGHTLY INCREASED,SIGNIFICANTLY DECREASED,I EAT LESS - IT IS NOT ENOUGH,YES - I USE MORE,I HAVE BEEN ABLE TO USE MORE ENERGY,EASIER,COOL,COOL,PERFECTLY TOLERABLE,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,NO,,,,,IMPATIENT,NO,LESS,French
Cameroon,01/07/2020,French,Yes,LITTORAL,MALE,25-34,PAID LABOR/WAGE,NO,CEILING FAN,INFORMAL CONNECTION,24,COMMUNAL TAP/SHARED TAP [ALSO CALLED STAND PIPE/STREET END TAP/YARD TAP],COMMUNAL OR STREET-END TAP,1,T-GIRDER,BAMBOO POLES OR WOOD,CEMENT,2,6,,NO,VERY LITTLE – ONLY FOR SLEEPING,REMAINED ABOUT THE SAME,SIGNIFICANTLY DECREASED,I EAT LESS - IT IS ENOUGH,NO - NO CHANGE,NO CHANGE,HARDER,COOL,HOT,VERY DIFFICULT TO TOLERATE,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,NO,,YES,YES,YES,,YES,,,,,,,,,,,,,,,SHORT TEMPERED,NO,MORE,French
Cameroon,28/06/2020,French,Yes,LITTORAL,MALE,35+,BUSINESS/SELF-EMPLOYED,NO,CEILING FAN,INFORMAL CONNECTION,20,COMMUNAL TAP/SHARED TAP [ALSO CALLED STAND PIPE/STREET END TAP/YARD TAP],SUPPLIED IN TANKS,2,T-GIRDER,MUD BRICK [CRUDE/RAW/COOKED],CEMENT,4,6,,NO,VERY LITTLE – ONLY FOR SLEEPING,SIGNIFICANTLY INCREASED,SIGNIFICANTLY DECREASED,I EAT LESS - IT IS NOT ENOUGH,YES - I USE LESS,NO CHANGE,THE SAME,SLIGHTLY COOL,SLIGHTLY WARM,SLIGHTLY DIFFICULT TO TOLERATE,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,YES,,YES,NO,NO,,,,,,,,,,,,,,,,,IRRITABLE,NO,MORE,French
Cameroon,30/06/2020,French,Yes,LITTORAL,MALE,35+,BUSINESS/SELF-EMPLOYED,NO,TABLE FAN,INFORMAL CONNECTION,21,COMMUNAL TAP/SHARED TAP [ALSO CALLED STAND PIPE/STREET END TAP/YARD TAP],COMMUNAL OR STREET-END TAP,3,SHEET METAL [TIN/ZINC/CORRUGATED IRON],REINFORCED CONCRETE,CEMENT,5,13,,NO,SOME OF THE DAY,SLIGHTLY INCREASED,REMAINED ABOUT THE SAME,NO CHANGE - IT IS NOT ENOUGH,YES - I USE MORE,I HAVE BEEN ABLE TO USE MORE ENERGY,HARDER,COOL,VERY HOT,FAIRLY DIFFICULT TO TOLERATE,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,,YES,,,,,YES,,,,,,,,,,,,,,,IMPATIENT,NO,MORE,French
Cameroon,29/06/2020,French,Yes,LITTORAL,MALE,35+,AGRICULTURE/HUSBANDRY/FISHING,NO,TABLE FAN,INFORMAL CONNECTION,22,COMMUNAL TAP/SHARED TAP [ALSO CALLED STAND PIPE/STREET END TAP/YARD TAP],COMMUNAL OR STREET-END TAP,3,SHEET METAL [TIN/ZINC/CORRUGATED IRON],MUD BRICK [CRUDE/RAW/COOKED],SAND/DIRT,4,6,,NO,SOME OF THE DAY,SIGNIFICANTLY INCREASED,SIGNIFICANTLY DECREASED,NO CHANGE - IT IS NOT ENOUGH,YES - I USE MORE,I HAVE BEEN ABLE TO USE MORE ENERGY,THE SAME,COOL,WARM,FAIRLY DIFFICULT TO TOLERATE,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,YES,YES,,,,,YES,,,,,,,,,,,,,,,UNHAPPY,NO,MORE,English
Cameroon,02/07/2020,French,Yes,LITTORAL,MALE,18-24,Other[Specify],NO,OTHER,OTHER,20,BOTTLES,COMMUNAL OR STREET-END TAP,1,SHEET METAL [TIN/ZINC/CORRUGATED IRON],MUD BRICK [CRUDE/RAW/COOKED],CEMENT,1,4,,NO,SOME OF THE DAY,SLIGHTLY INCREASED,SIGNIFICANTLY DECREASED,NO CHANGE - IT IS ENOUGH,NO - NO CHANGE,I HAVE BEEN ABLE TO USE MORE ENERGY,THE SAME,SLIGHTLY COOL,SLIGHTLY WARM,SLIGHTLY DIFFICULT TO TOLERATE,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,YES,,,,MAYBE,,YES,,,,,,,,,,,,,,,IMPATIENT,NO,MORE,French
Cameroon,28/06/2020,French,Yes,LITTORAL,MALE,35+,PAID LABOR/WAGE,NO,OTHER,INFORMAL CONNECTION,14,COMMUNAL TAP/SHARED TAP [ALSO CALLED STAND PIPE/STREET END TAP/YARD TAP],COMMUNAL OR STREET-END TAP,1,T-GIRDER,BAMBOO POLES OR WOOD,SAND/DIRT,1,5,,YES,HALF OF THE DAY,REMAINED ABOUT THE SAME,SIGNIFICANTLY DECREASED,NO CHANGE - IT IS NOT ENOUGH,YES - I USE MORE,I HAVE BEEN ABLE TO USE MORE ENERGY,THE SAME,COOL,COOL,FAIRLY DIFFICULT TO TOLERATE,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,YES,,,YES,,,,,,,,,,,,,,,IMPATIENT,NO,ABOUT THE SAME,French
Cameroon,01/07/2020,French,Yes,LITTORAL,MALE,25-34,AGRICULTURE/HUSBANDRY/FISHING,NO,TABLE FAN,INFORMAL CONNECTION,21,COMMUNAL TAP/SHARED TAP [ALSO CALLED STAND PIPE/STREET END TAP/YARD TAP],COMMUNAL OR STREET-END TAP,3,SHEET METAL [TIN/ZINC/CORRUGATED IRON],MUD BRICK [CRUDE/RAW/COOKED],CEMENT,5,6,,NO,SOME OF THE DAY,SLIGHTLY INCREASED,SLIGHTLY DECREASED,I EAT LESS - IT IS NOT ENOUGH,NO - NO CHANGE,NO CHANGE,THE SAME,SLIGHTLY COOL,SLIGHTLY WARM,SLIGHTLY DIFFICULT TO TOLERATE,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,NO,,,,,,,,,,,,,,,,,,,,,IMPATIENT,NO,ABOUT THE SAME,French
Cameroon,29/06/2020,French,Yes,LITTORAL,MALE,25-34,INFORMAL TRADE / STREET SALES,NO,TABLE FAN,INFORMAL CONNECTION,23,COMMUNAL TAP/SHARED TAP [ALSO CALLED STAND PIPE/STREET END TAP/YARD TAP],COMMUNAL OR STREET-END TAP,1,SHEET METAL [TIN/ZINC/CORRUGATED IRON],REINFORCED CONCRETE,CEMENT,1,2,,NO,SOME OF THE DAY,SIGNIFICANTLY INCREASED,SIGNIFICANTLY DECREASED,NO CHANGE - IT IS ENOUGH,YES - I USE MORE,I HAVE BEEN ABLE TO USE MORE ENERGY,HARDER,COOL,VERY HOT,FAIRLY DIFFICULT TO TOLERATE,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,,YES,,,,,YES,,,,,,,,,,,,,,,IMPATIENT,NO,MORE,Fula
Cameroon,02/07/2020,French,Yes,LITTORAL,MALE,35+,PAID LABOR/WAGE,NO,CEILING FAN,INFORMAL CONNECTION,24,COMMUNAL TAP/SHARED TAP [ALSO CALLED STAND PIPE/STREET END TAP/YARD TAP],COMMUNAL OR STREET-END TAP,2,SHEET METAL [TIN/ZINC/CORRUGATED IRON],BAMBOO POLES OR WOOD,CEMENT,2,7,,NO,VERY LITTLE – ONLY FOR SLEEPING,REMAINED ABOUT THE SAME,SIGNIFICANTLY DECREASED,NO CHANGE - IT IS NOT ENOUGH,NO - NO CHANGE,NO CHANGE,HARDER,COOL,HOT,INTOLERABLE,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,YES,,YES,YES,,,YES,,,,,,,,,,,,,,,IMPATIENT,NO,ABOUT THE SAME,French
Cameroon,01/07/2020,French,Yes,LITTORAL,MALE,25-34,Other[Specify],NO,TABLE FAN,OTHER,15,COMMUNAL TAP/SHARED TAP [ALSO CALLED STAND PIPE/STREET END TAP/YARD TAP],COMMUNAL OR STREET-END TAP,1,SHEET METAL [TIN/ZINC/CORRUGATED IRON],REINFORCED CONCRETE,CEMENT,1,4,,YES,VERY LITTLE – ONLY FOR SLEEPING,REMAINED ABOUT THE SAME,SIGNIFICANTLY DECREASED,NO CHANGE - IT IS NOT ENOUGH,YES - I USE MORE,I HAVE BEEN ABLE TO USE MORE ENERGY,HARDER,COLD,HOT,SLIGHTLY DIFFICULT TO TOLERATE,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,YES,YES,YES,YES,,,YES,,,,YES,,,,,,,YES,,,,FRUSTRATED,NO,ABOUT THE SAME,French
